origin,destination,carrier,planned_lead_time,current_transit_days,port_congestion_index,is_delayed,delay_days
Taipei,Rotterdam,Maersk,17,11,0.7893829606886293,0,0
Taipei,Rotterdam,Maersk,16,14,0.5330788223246319,0,0
Taipei,LA,Maersk,17,19,0.5781406737621203,1,2
Shenzhen,Chicago,FedEx,37,35,0.052586860214377085,0,0
Taipei,Chicago,FedEx,17,33,0.2553138011712709,1,16
Shenzhen,Rotterdam,DHL,32,21,0.6383543048854777,0,0
Taipei,Chicago,FedEx,11,33,0.8591818901106761,1,22
Penang,Rotterdam,Maersk,36,19,0.9169833971814025,0,0
Penang,LA,DHL,25,30,0.5004194958350817,1,5
Shenzhen,LA,DHL,18,16,0.5454742327381976,0,0
Penang,Rotterdam,FedEx,22,29,0.8330496310689909,1,7
Penang,LA,DHL,32,9,0.5376246007473546,0,0
Taipei,LA,FedEx,21,8,0.5168585255373174,0,0
Shenzhen,Rotterdam,FedEx,36,35,0.9050840377609537,0,0
Taipei,Rotterdam,DHL,31,7,0.7899327210558801,0,0
Taipei,LA,FedEx,34,7,0.9090725263612945,0,0
Taipei,Chicago,FedEx,38,30,0.2182470547811538,0,0
Taipei,Chicago,FedEx,26,21,0.5243754866553567,0,0
Taipei,Rotterdam,FedEx,36,14,0.842472128593358,0,0
Taipei,Rotterdam,DHL,11,6,0.11114782746710894,0,0
Taipei,Chicago,Maersk,22,28,0.7946621542939618,1,6
Shenzhen,LA,Maersk,10,15,0.18297338341486946,1,5
Penang,Chicago,FedEx,35,28,0.8081187549853212,0,0
Taipei,Chicago,FedEx,37,39,0.6120009375568681,1,2
Taipei,Chicago,FedEx,28,27,0.19323599148486714,0,0
Taipei,Chicago,Maersk,20,36,0.4733541793328011,1,16
Taipei,Rotterdam,FedEx,14,27,0.6819051664607716,1,13
Taipei,Rotterdam,DHL,10,38,0.6338529008835424,1,28
Taipei,LA,DHL,29,23,0.4272471962317044,0,0
Penang,LA,DHL,39,6,0.8993665289209269,0,0
Penang,LA,Maersk,22,6,0.5192634144878443,0,0
Taipei,LA,FedEx,17,19,0.5058672985286884,1,2
Penang,Chicago,FedEx,15,25,0.06225058994145427,1,10
Shenzhen,Rotterdam,FedEx,38,39,0.9221203897976371,1,1
Taipei,Rotterdam,Maersk,26,9,0.177116568678373,0,0
Shenzhen,LA,Maersk,21,31,0.5283446934365542,1,10
Shenzhen,LA,Maersk,10,28,0.8035676014003101,1,18
Taipei,Chicago,Maersk,12,11,0.2154532769556433,0,0
Penang,Chicago,DHL,23,10,0.5273732899708411,0,0
Shenzhen,LA,Maersk,35,37,0.24068490922334085,1,2
Taipei,Rotterdam,Maersk,17,21,0.7596949977999118,1,4
Shenzhen,Rotterdam,Maersk,20,34,0.5643411678731507,1,14
Shenzhen,Rotterdam,FedEx,36,12,0.8559758603951435,0,0
Shenzhen,LA,FedEx,23,44,0.8945580028773829,1,21
Shenzhen,Rotterdam,FedEx,17,11,0.6487334824453981,0,0
Penang,Chicago,DHL,38,10,0.7253912461589445,0,0
Shenzhen,Chicago,DHL,12,8,0.5492200998868637,0,0
Shenzhen,LA,Maersk,16,5,0.3844287330673829,0,0
Shenzhen,Chicago,FedEx,37,19,0.6481179230208346,0,0
Penang,LA,DHL,28,35,0.9082886234873289,1,7
Shenzhen,Rotterdam,FedEx,13,29,0.41668038043143796,1,16
Shenzhen,Rotterdam,DHL,34,37,0.31441002637379534,1,3
Penang,Rotterdam,DHL,25,39,0.3884369385525741,1,14
Penang,Chicago,Maersk,22,9,0.4353976302115996,0,0
Penang,LA,Maersk,29,9,0.07356102897771621,0,0
Shenzhen,Rotterdam,DHL,28,40,0.4984418404349944,1,12
Penang,LA,Maersk,14,21,0.49431424805005963,1,7
Penang,Rotterdam,DHL,32,18,0.5884438276405232,0,0
Shenzhen,Chicago,DHL,14,33,0.3628200304713315,1,19
Penang,Chicago,FedEx,29,12,0.6131075959555897,0,0
Shenzhen,LA,Maersk,33,38,0.878216310274203,1,5
Taipei,Chicago,Maersk,13,44,0.9554709904951643,1,31
Penang,Chicago,Maersk,11,5,0.5836122161410496,0,0
Taipei,LA,FedEx,35,33,0.042590953970313095,0,0
Shenzhen,Rotterdam,FedEx,22,40,0.969235997267109,1,18
Penang,Chicago,FedEx,39,41,0.7058620608962562,1,2
Shenzhen,LA,Maersk,25,33,0.33596364855365213,1,8
Taipei,Chicago,Maersk,31,9,0.14715770096372338,0,0
Shenzhen,Chicago,Maersk,11,36,0.14341861223627494,1,25
Penang,Chicago,FedEx,28,28,0.16774440613960273,0,0
Penang,Chicago,FedEx,26,23,0.045572521613820305,0,0
Taipei,LA,DHL,14,16,0.9021541886529115,1,2
Shenzhen,LA,FedEx,34,5,0.5407682328273363,0,0
Penang,LA,DHL,27,11,0.6999594127138372,0,0
Taipei,Chicago,Maersk,37,21,0.8281085092683075,0,0
Penang,Chicago,FedEx,32,38,0.7915410063332002,1,6
Penang,Chicago,Maersk,30,11,0.8826056237288415,0,0
Shenzhen,LA,Maersk,27,21,0.9672546225249519,0,0
Penang,Chicago,Maersk,17,7,0.43907061474193954,0,0
Shenzhen,Rotterdam,Maersk,36,33,0.9503354666683905,0,0
Penang,Chicago,FedEx,24,26,0.7232899483428163,1,2
Taipei,Rotterdam,Maersk,22,42,0.07066819030807847,1,20
Penang,Chicago,DHL,22,33,0.6817831212123454,1,11
Shenzhen,LA,FedEx,25,9,0.6867166596048486,0,0
Shenzhen,Chicago,Maersk,31,34,0.9058605637925271,1,3
Taipei,Rotterdam,FedEx,29,27,0.37293213247009205,0,0
Penang,Rotterdam,DHL,22,25,0.5849115002718178,1,3
Penang,Chicago,Maersk,29,30,0.012187551011742515,1,1
Taipei,Rotterdam,DHL,11,25,0.332075242181336,1,14
Penang,Rotterdam,Maersk,12,24,0.06224372615878093,1,12
Penang,LA,DHL,24,27,0.521872972764897,1,3
Shenzhen,Chicago,Maersk,32,8,0.8174476505069532,0,0
Penang,Chicago,FedEx,28,25,0.20644269212906896,0,0
Penang,Chicago,Maersk,22,25,0.5274410455577785,1,3
Taipei,Rotterdam,FedEx,14,5,0.20400863651076706,0,0
Taipei,Chicago,Maersk,35,19,0.12068846784624043,0,0
Shenzhen,Chicago,Maersk,31,21,0.5109967919343424,0,0
Penang,LA,DHL,15,18,0.07914862094972763,1,3
Penang,LA,DHL,23,23,0.5873546311379894,0,0
Penang,LA,DHL,13,38,0.03133746067672627,1,25
Shenzhen,Rotterdam,Maersk,31,10,0.10671497186837553,0,0
Shenzhen,Chicago,Maersk,28,10,0.5499974854873578,0,0
Taipei,LA,Maersk,32,9,0.5914074128989139,0,0
Shenzhen,LA,FedEx,16,11,0.02898693009375808,0,0
Penang,LA,FedEx,13,37,0.5733767880015584,1,24
Penang,Chicago,Maersk,11,17,0.838502525323637,1,6
Shenzhen,Chicago,DHL,36,5,0.7223161772939539,0,0
Penang,Chicago,DHL,16,17,0.13118510392079863,1,1
Penang,Rotterdam,DHL,12,31,0.5924746475636149,1,19
Shenzhen,Rotterdam,Maersk,24,11,0.6722525000742134,0,0
Shenzhen,LA,DHL,10,7,0.037231201752291776,0,0
Penang,Chicago,Maersk,11,29,0.8553476686836227,1,18
Penang,LA,FedEx,19,37,0.9062673972898302,1,18
Penang,Chicago,DHL,25,44,0.8504522733622586,1,19
Taipei,Chicago,FedEx,34,21,0.8246314679891132,0,0
Taipei,Chicago,DHL,37,18,0.7449651984608933,0,0
Taipei,Rotterdam,Maersk,24,41,0.6334320312819601,1,17
Shenzhen,Rotterdam,Maersk,33,27,0.6786270049882519,0,0
Taipei,Chicago,Maersk,24,28,0.806395293334983,1,4
Shenzhen,LA,Maersk,23,33,0.6624984583613046,1,10
Shenzhen,Chicago,DHL,31,42,0.32772695668207097,1,11
Taipei,Chicago,FedEx,23,31,0.3759611021613539,1,8
Taipei,LA,Maersk,15,42,0.8970574683722922,1,27
Taipei,Chicago,DHL,23,44,0.0171220857971619,1,21
Penang,LA,FedEx,26,27,0.698820581244282,1,1
Taipei,Rotterdam,Maersk,27,35,0.9547775524252154,1,8
Penang,Rotterdam,FedEx,29,40,0.7062281699579737,1,11
Shenzhen,LA,Maersk,28,21,0.9939119882317821,0,0
Penang,Rotterdam,FedEx,39,41,0.6875449055283308,1,2
Taipei,Rotterdam,FedEx,26,7,0.034363029216861074,0,0
Shenzhen,LA,Maersk,25,40,0.8270098816469236,1,15
Shenzhen,Rotterdam,DHL,17,9,0.2846299119393191,0,0
Shenzhen,Chicago,FedEx,16,19,0.44605722566444095,1,3
Penang,Chicago,Maersk,29,10,0.3120919159070821,0,0
Taipei,LA,FedEx,37,14,0.26855410620967946,0,0
Shenzhen,Rotterdam,FedEx,21,36,0.43140570366978537,1,15
Shenzhen,Chicago,DHL,18,27,0.37875144844067377,1,9
Shenzhen,Chicago,FedEx,36,21,0.6333385818425894,0,0
Penang,Rotterdam,FedEx,23,24,0.8131512009875106,1,1
Penang,Rotterdam,Maersk,29,19,0.29708865318724076,0,0
Taipei,Chicago,Maersk,10,26,0.21372115282201742,1,16
Penang,Chicago,DHL,19,10,0.6668952708703423,0,0
Shenzhen,LA,FedEx,26,8,0.6703200658307816,0,0
Taipei,LA,FedEx,26,27,0.9011312392861718,1,1
Shenzhen,Chicago,FedEx,26,23,0.015945686453310848,0,0
Shenzhen,LA,DHL,13,35,0.85304066211651,1,22
Penang,Chicago,FedEx,26,7,0.5210021729483569,0,0
Taipei,Chicago,Maersk,27,32,0.6213020891720988,1,5
Penang,LA,DHL,29,7,0.09137144056141477,0,0
Penang,LA,Maersk,32,18,0.43261493287204567,0,0
Taipei,Rotterdam,Maersk,11,22,0.2273024072385238,1,11
Shenzhen,Rotterdam,DHL,17,31,0.2542250300825091,1,14
Shenzhen,Rotterdam,Maersk,22,14,0.5040951146760274,0,0
Taipei,Chicago,FedEx,32,19,0.8124559504031124,0,0
Shenzhen,LA,DHL,34,23,0.7437809301448561,0,0
Taipei,Chicago,Maersk,39,13,0.5909999590859538,0,0
Taipei,LA,FedEx,31,8,0.539418192753467,0,0
Penang,Chicago,FedEx,29,19,0.42730604323448995,0,0
Taipei,Rotterdam,Maersk,31,12,0.9727099735613863,0,0
Penang,Rotterdam,FedEx,24,5,0.5601925542342333,0,0
Shenzhen,Rotterdam,DHL,29,11,0.2539663983122221,0,0
Shenzhen,Chicago,Maersk,32,35,0.23009079204003957,1,3
Shenzhen,LA,FedEx,18,22,0.6113530307751418,1,4
Shenzhen,LA,FedEx,12,16,0.5228275273109287,1,4
Penang,Rotterdam,Maersk,12,34,0.007697802954712785,1,22
Shenzhen,Rotterdam,Maersk,11,37,0.8300653721957794,1,26
Taipei,Rotterdam,Maersk,10,11,0.7041223542324346,1,1
Taipei,Rotterdam,Maersk,23,32,0.6618292896781035,1,9
Taipei,LA,DHL,26,7,0.06878065769765895,0,0
Penang,Chicago,Maersk,22,10,0.3620558501724914,0,0
Shenzhen,Chicago,DHL,28,35,0.9353822607327862,1,7
Shenzhen,Chicago,DHL,39,42,0.8625892413413637,1,3
Shenzhen,Chicago,Maersk,32,19,0.28554293786953344,0,0
Penang,Rotterdam,DHL,24,11,0.1570588840991387,0,0
Taipei,Rotterdam,Maersk,36,34,0.4490879571685771,0,0
Taipei,Rotterdam,Maersk,34,31,0.3558303786676609,0,0
Shenzhen,Chicago,FedEx,23,21,0.6822263767059911,0,0
Taipei,Rotterdam,Maersk,11,22,0.9664348100843196,1,11
Taipei,Rotterdam,FedEx,16,26,0.36300144998256145,1,10
Penang,LA,DHL,26,30,0.062224172652242005,1,4
Penang,LA,FedEx,27,31,0.8976140083423853,1,4
Penang,Rotterdam,DHL,15,44,0.037949730239870805,1,29
Penang,LA,Maersk,36,28,0.952765897153333,0,0
Shenzhen,LA,DHL,30,12,0.6645794280090398,0,0
Penang,Rotterdam,DHL,17,25,0.9416892084419491,1,8
Taipei,Rotterdam,Maersk,37,33,0.19965968664897826,0,0
Shenzhen,Rotterdam,DHL,36,25,0.040699795253807625,0,0
Taipei,Rotterdam,Maersk,11,7,0.4882099782764918,0,0
Taipei,Chicago,FedEx,10,35,0.4506234145701252,1,25
Taipei,Chicago,Maersk,25,31,0.33149227325488284,1,6
Penang,Rotterdam,Maersk,16,31,0.9576564743886975,1,15
Penang,LA,DHL,31,13,0.8225837321614322,0,0
Shenzhen,Rotterdam,FedEx,33,37,0.6615820213755933,1,4
Shenzhen,Rotterdam,Maersk,20,37,0.16285829163782772,1,17
Penang,LA,FedEx,24,30,0.7343234082185247,1,6
Taipei,Chicago,FedEx,22,32,0.727012454699724,1,10
Shenzhen,Rotterdam,DHL,39,35,0.42506817361600746,0,0
Penang,Rotterdam,Maersk,33,5,0.9247859097140136,0,0
Penang,Chicago,DHL,11,24,0.16697788222901044,1,13
Penang,Chicago,Maersk,23,16,0.2673375624116643,0,0
Taipei,LA,FedEx,33,21,0.06322433925063364,0,0
Penang,Chicago,Maersk,15,19,0.7954509581775875,1,4
Penang,Chicago,Maersk,18,38,0.6217593860953973,1,20
Penang,Chicago,FedEx,37,20,0.31494030568124953,0,0
Penang,LA,FedEx,16,8,0.16381366359431537,0,0
Shenzhen,Chicago,Maersk,27,12,0.04014777002874037,0,0
Shenzhen,Chicago,DHL,33,38,0.1667455686259366,1,5
Penang,LA,Maersk,18,29,0.4532846463376582,1,11
Taipei,Chicago,FedEx,32,19,0.24717696901060615,0,0
Shenzhen,Chicago,DHL,13,32,0.2589821774319667,1,19
Penang,LA,FedEx,18,13,0.8755763666677143,0,0
Shenzhen,Rotterdam,FedEx,13,6,0.5151376734611006,0,0
Shenzhen,LA,DHL,21,21,0.7292519731284146,0,0
Taipei,Chicago,FedEx,13,14,0.03571094902814309,1,1
Penang,Chicago,FedEx,34,13,0.3651633556780287,0,0
Penang,Chicago,FedEx,39,35,0.4791693473954418,0,0
Taipei,LA,FedEx,33,6,0.1864168552101847,0,0
Taipei,Chicago,FedEx,29,28,0.12019154144553867,0,0
Penang,Chicago,FedEx,23,23,0.8703037784998425,0,0
Penang,LA,FedEx,33,21,0.9394316270997966,0,0
Taipei,Rotterdam,FedEx,33,14,0.07880669804540741,0,0
Shenzhen,Rotterdam,FedEx,16,32,0.3490187125424431,1,16
Shenzhen,Chicago,Maersk,35,42,0.9582856281444737,1,7
Taipei,LA,Maersk,22,32,0.08316173313246489,1,10
Shenzhen,Chicago,FedEx,31,5,0.6436413728787262,0,0
Taipei,LA,Maersk,17,7,0.9722213709670056,0,0
Shenzhen,LA,DHL,32,19,0.9782236685813746,0,0
Shenzhen,Rotterdam,Maersk,14,14,0.47122333090374324,0,0
Penang,Rotterdam,FedEx,21,25,0.1627491077823806,1,4
Penang,LA,FedEx,22,41,0.20208431497743884,1,19
Shenzhen,Chicago,Maersk,38,19,0.8896013951243946,0,0
Shenzhen,Rotterdam,FedEx,29,27,0.9116830043297359,0,0
Penang,Chicago,DHL,23,18,0.6078796438735548,0,0
Penang,Rotterdam,DHL,37,19,0.7661763994699113,0,0
Penang,Rotterdam,FedEx,27,14,0.7399312514704082,0,0
Taipei,Chicago,DHL,36,13,0.661821597989107,0,0
Shenzhen,Rotterdam,DHL,33,43,0.8272769548719391,1,10
Penang,Rotterdam,Maersk,34,9,0.6854066230403211,0,0
Shenzhen,Chicago,DHL,29,29,0.5340023057474993,0,0
Taipei,Rotterdam,Maersk,13,30,0.23695636258815678,1,17
Taipei,Rotterdam,FedEx,30,12,0.743888144118619,0,0
Penang,Rotterdam,Maersk,27,26,0.47343786783827446,0,0
Taipei,Chicago,FedEx,16,29,0.2947916840075093,1,13
Shenzhen,LA,FedEx,24,16,0.8019462757417753,0,0
Penang,Chicago,FedEx,30,13,0.6967136003530283,0,0
Shenzhen,LA,FedEx,15,14,0.9373395631247,0,0
Shenzhen,Rotterdam,FedEx,25,14,0.16544164001887773,0,0
Taipei,LA,Maersk,29,13,0.6491892846364932,0,0
Taipei,Chicago,FedEx,33,30,0.24423946808817598,0,0
Taipei,Chicago,DHL,17,39,0.9035829853016417,1,22
Taipei,Rotterdam,DHL,37,31,0.09949941425661568,0,0
Taipei,LA,FedEx,30,35,0.6561618064448772,1,5
Penang,Rotterdam,DHL,25,23,0.7910857215280299,0,0
Shenzhen,Rotterdam,Maersk,37,42,0.3549178403647072,1,5
Shenzhen,Chicago,Maersk,31,10,0.9541380793838092,0,0
Shenzhen,LA,FedEx,25,19,0.8507306845860373,0,0
Shenzhen,LA,FedEx,12,33,0.2946182996849034,1,21
Taipei,LA,FedEx,26,9,0.007541092715998676,0,0
Shenzhen,LA,DHL,18,18,0.29665717611806086,0,0
Penang,Rotterdam,DHL,34,6,0.28131047047074254,0,0
Penang,Rotterdam,Maersk,12,27,0.889964607500909,1,15
Shenzhen,Chicago,DHL,29,23,0.9671211782547475,0,0
Shenzhen,Rotterdam,Maersk,38,28,0.07043998597026035,0,0
Penang,Rotterdam,DHL,16,24,0.4712948285333167,1,8
Penang,Chicago,Maersk,27,31,0.5483319985297957,1,4
Taipei,Chicago,FedEx,21,28,0.0929116613297033,1,7
Penang,Chicago,DHL,28,21,0.37749770913752256,0,0
Taipei,Rotterdam,Maersk,25,29,0.3170824173929506,1,4
Taipei,Rotterdam,DHL,31,35,0.5360563543270873,1,4
Taipei,Chicago,FedEx,36,32,0.661190899731938,0,0
Taipei,Chicago,Maersk,33,32,0.7034851104965666,0,0
Taipei,Chicago,DHL,26,26,0.13675502361338754,0,0
Shenzhen,Rotterdam,DHL,29,9,0.8129477019446214,0,0
Penang,Rotterdam,FedEx,24,12,0.678542029790759,0,0
Taipei,LA,FedEx,10,42,0.8890749167467196,1,32
Penang,Rotterdam,Maersk,11,32,0.4493360594354341,1,21
Penang,Rotterdam,DHL,17,16,0.8938897627221916,0,0
Taipei,Rotterdam,DHL,31,29,0.8657741223560754,0,0
Shenzhen,Chicago,FedEx,34,42,0.4384093323592696,1,8
Taipei,Rotterdam,FedEx,11,19,0.3811433152929786,1,8
Shenzhen,Chicago,Maersk,28,38,0.9328120149702568,1,10
Penang,LA,DHL,18,17,0.7151647345384377,0,0
Shenzhen,LA,DHL,18,12,0.9282453464380757,0,0
Shenzhen,Chicago,Maersk,22,17,0.796974778895813,0,0
Shenzhen,Chicago,Maersk,15,40,0.6092974392914143,1,25
Penang,Chicago,FedEx,39,10,0.1158527770037645,0,0
Penang,Rotterdam,FedEx,24,42,0.2914806725790985,1,18
Shenzhen,LA,Maersk,28,36,0.9688424070983915,1,8
Shenzhen,Chicago,Maersk,30,25,0.31942209871420446,0,0
Taipei,Rotterdam,DHL,24,11,0.09325486978537079,0,0
Shenzhen,LA,Maersk,27,30,0.7075533559193198,1,3
Taipei,Rotterdam,Maersk,16,19,0.7340042545436842,1,3
Shenzhen,LA,DHL,35,27,0.2854577202871508,0,0
Taipei,Rotterdam,Maersk,20,42,0.29767197934630374,1,22
Penang,LA,FedEx,17,19,0.4688929855087839,1,2
Shenzhen,LA,FedEx,15,44,0.02178894976225554,1,29
Shenzhen,Rotterdam,DHL,17,20,0.7893230103611636,1,3
Shenzhen,Chicago,Maersk,11,36,0.3170887872741256,1,25
Shenzhen,LA,FedEx,28,41,0.8537631020019776,1,13
Taipei,Chicago,FedEx,25,22,0.8026304216000337,0,0
Shenzhen,Rotterdam,FedEx,16,24,0.6614020331187831,1,8
Penang,Chicago,FedEx,19,6,0.3248748670992887,0,0
Penang,Chicago,Maersk,21,27,0.51631656166117,1,6
Shenzhen,Chicago,Maersk,26,34,0.444829257597959,1,8
Penang,Chicago,Maersk,16,7,0.3388818862486742,0,0
Shenzhen,Chicago,Maersk,31,43,0.8481362893031782,1,12
Shenzhen,LA,FedEx,17,5,0.4835070745776653,0,0
Penang,LA,DHL,16,26,0.8327230977971465,1,10
Shenzhen,LA,DHL,13,33,0.10521847414182428,1,20
Penang,Rotterdam,FedEx,12,18,0.14102478860033574,1,6
Taipei,Chicago,FedEx,28,32,0.9773203051129767,1,4
Shenzhen,LA,DHL,24,25,0.5877684626060896,1,1
Taipei,Rotterdam,DHL,13,36,0.509769673499049,1,23
Penang,LA,FedEx,34,10,0.5231560631441117,0,0
Taipei,LA,FedEx,18,5,0.21526877403285982,0,0
Taipei,Chicago,Maersk,22,25,0.718703949501973,1,3
Penang,Rotterdam,Maersk,27,8,0.08478062372975437,0,0
Taipei,Chicago,DHL,30,7,0.5733237131030232,0,0
Taipei,Chicago,FedEx,25,34,0.5707687965859014,1,9
Penang,LA,DHL,10,35,0.914188424133511,1,25
Taipei,Chicago,Maersk,13,38,0.5261828101048603,1,25
Penang,Rotterdam,Maersk,27,23,0.13706269597417953,0,0
Taipei,Chicago,DHL,17,24,0.5727532592481626,1,7
Penang,Chicago,Maersk,29,27,0.09132764436533236,0,0
Penang,Chicago,FedEx,25,44,0.20379383529992168,1,19
Taipei,LA,DHL,30,29,0.031108584187416133,0,0
Taipei,Rotterdam,FedEx,20,19,0.5132935824594983,0,0
Taipei,LA,FedEx,29,42,0.08453261529357237,1,13
Shenzhen,LA,Maersk,30,27,0.46939437853132904,0,0
Shenzhen,LA,FedEx,30,6,0.9329450353241441,0,0
Shenzhen,LA,DHL,30,19,0.719761413019332,0,0
Penang,LA,FedEx,36,39,0.07741167422529305,1,3
Taipei,Rotterdam,FedEx,28,14,0.22420981220884317,0,0
Penang,Chicago,FedEx,32,18,0.6736624198934342,0,0
Shenzhen,LA,FedEx,28,31,0.8947018610241837,1,3
Taipei,LA,FedEx,27,18,0.03291858676395376,0,0
Penang,Rotterdam,Maersk,28,39,0.812451131720594,1,11
Taipei,Rotterdam,DHL,20,37,0.5618138803383087,1,17
Penang,Chicago,Maersk,12,5,0.5460913252963926,0,0
Taipei,Rotterdam,DHL,17,38,0.9578131827533579,1,21
Shenzhen,Chicago,DHL,29,23,0.7476446125967731,0,0
Shenzhen,LA,DHL,28,28,0.8501188680561119,0,0
Taipei,LA,DHL,19,8,0.3539955695446667,0,0
Penang,Chicago,DHL,25,40,0.5543640408284098,1,15
Shenzhen,Rotterdam,FedEx,14,17,0.6154056774277707,1,3
Shenzhen,Chicago,Maersk,29,36,0.32158394036246507,1,7
Shenzhen,Rotterdam,Maersk,18,13,0.5702481249473995,0,0
Taipei,LA,FedEx,17,43,0.23665537947971382,1,26
Taipei,Rotterdam,DHL,20,20,0.14337567106823956,0,0
Penang,Chicago,Maersk,25,7,0.37397025927733263,0,0
Penang,Chicago,FedEx,16,24,0.739289628746437,1,8
Penang,LA,FedEx,24,14,0.9161871480738876,0,0
Taipei,Rotterdam,Maersk,33,26,0.4577140514982325,0,0
Taipei,Rotterdam,Maersk,38,7,0.6428236882754317,0,0
Penang,Rotterdam,DHL,30,15,0.10303713097510048,0,0
Penang,LA,DHL,29,29,0.9044637585523287,0,0
Taipei,Rotterdam,Maersk,32,12,0.5686042135699344,0,0
Penang,Chicago,DHL,26,13,0.780338247625157,0,0
Shenzhen,Rotterdam,FedEx,15,19,0.7944412009213938,1,4
Taipei,LA,DHL,24,36,0.2564805263681059,1,12
Penang,Rotterdam,DHL,17,7,0.5291744531818495,0,0
Taipei,Rotterdam,FedEx,16,8,0.9604797515609774,0,0
Shenzhen,Chicago,DHL,11,34,0.08963454482082778,1,23
Taipei,Rotterdam,FedEx,39,17,0.6830498980295634,0,0
Taipei,Chicago,DHL,22,25,0.962264078035172,1,3
Taipei,Chicago,Maersk,39,23,0.30057710805402216,0,0
Taipei,LA,DHL,32,43,0.8614479214043481,1,11
Shenzhen,Chicago,Maersk,38,26,0.9336575454082716,0,0
Taipei,Chicago,Maersk,15,24,0.7470862093948251,1,9
Taipei,LA,Maersk,38,41,0.23132831230695827,1,3
Penang,Chicago,Maersk,14,35,0.3340007188265939,1,21
Taipei,LA,Maersk,29,14,0.03580929441773073,0,0
Penang,Rotterdam,FedEx,10,22,0.8314532342453552,1,12
Shenzhen,LA,FedEx,38,43,0.8496111865110799,1,5
Shenzhen,Chicago,FedEx,27,24,0.6327103099661927,0,0
Shenzhen,LA,Maersk,24,22,0.35252785126385133,0,0
Shenzhen,Chicago,DHL,32,15,0.07681102763992054,0,0
Penang,Rotterdam,FedEx,19,26,0.7530576099149094,1,7
Taipei,LA,DHL,12,22,0.7265261936099229,1,10
Shenzhen,Rotterdam,DHL,14,38,0.912602521738901,1,24
Taipei,Chicago,Maersk,33,27,0.7305320210053622,0,0
Penang,Chicago,Maersk,38,5,0.8286949422440019,0,0
Penang,Rotterdam,Maersk,22,14,0.7459546179039995,0,0
Penang,LA,FedEx,17,5,0.6306871883123164,0,0
Shenzhen,LA,Maersk,31,42,0.42696639419100924,1,11
Taipei,Chicago,FedEx,30,43,0.9021173086422778,1,13
